file,model_count
2007-07-01_17-05-57.dimacs,2364123995518091330090904359815927029855301182480633517139288735635193371366355498826582715200000000000000
2007-07-14_22-07-14.dimacs,2364123995518091330090904359815927029855301182480633517139288735635193371366355498826582715200000000000000
2007-07-19_21-49-30.dimacs,2364123995518091330090904359815927029855301182480633517139288735635193371366355498826582715200000000000000
2007-07-20_21-28-41.dimacs,2364123995518091330090904359815927029855301182480633517139288735635193371366355498826582715200000000000000
2007-07-23_14-03-30.dimacs,14174486959263525224282726773356030049728135819932974702900017221915334713636767708319351995200000000000000
2007-08-02_22-23-47.dimacs,14174486959263525224282726773356030049728135819932974702900017221915334713636767708319351995200000000000000
2007-08-12_21-05-49.dimacs,28290158619940894742240628954291495659415905931069547021140698272785377581988735550629080123200000000000000
2007-08-13_14-10-24.dimacs,254556712546637143823777262607661168769430886573069333864327172736533143863515211464784873492800000000000000
2007-08-14_16-45-29.dimacs,128207395373353233668504103994028860533530690584482927675874359112472618243991461797904749496640000000000000
2007-08-21_10-26-55.dimacs,256148247305181824439568490516136663144954248756108302487557711241343422312839490203298262507840000000000000
2007-08-21_10-58-18.dimacs,484919416952249560864886549722388782165058093636957630199433607752448293691199534893820194283840000000000000
2007-08-25_18-25-24.dimacs,998363507404399949260624562825406498241952021511656493780094519301678047430149202222550917540400000000000000
2007-09-02_22-12-07.dimacs,998363507404399949260624562825406498241952021511656493780094519301678047430149202222550917540400000000000000
2007-09-08_16-51-19.dimacs,1830333096908066573644478365179911913443578706104703571930173285386409753621940204074676682157400000000000000
2007-09-15_13-28-30.dimacs,3563004137464136463468639413187401996798969021808399998915699715588680825613804399213799110912600000000000000
2007-09-21_13-43-28.dimacs,3563004137464136463468639413187401996798969021808399998915699715588680825613804399213799110912600000000000000
2007-09-21_22-35-18.dimacs,7122300674368997030513273998681580890583579074811588343305992875802139298651527836513744112448600000000000000
2007-09-29_22-26-01.dimacs,7122300674368997030513273998681580890583579074811588343305992875802139298651527836513744112448600000000000000
2007-10-07_17-06-01.dimacs,4451437921480623144070796249175988056614736921757242714566245547376337061657204897821090070280375000000000000
2007-10-07_17-06-26.dimacs,6232013090072872401699114748846383279260631690460139800392743766326871886320086856949526098392525000000000000
2007-10-07_20-46-34.dimacs,3179598606557982575498623808836924766335993486554603038063973456671520760321611224257489832226075000000000000
2007-10-13_03-36-03.dimacs,3179598606557982575498623808836924766335993486554603038063973456671520760321611224257489832226075000000000000
2007-10-14_04-48-44.dimacs,6358737169164509045762681284373404040223807774617764412783148432162644613533281759431492778482075000000000000
2007-10-18_12-54-39.dimacs,12714164220073336410606173250014703237115900917390334778500818910950920333462433752200085248386075000000000000
2007-10-20_00-17-34.dimacs,12714164220073336410606173250014703237115900917390334778500818910950920333462433752200085248386075000000000000
2007-10-29_19-33-26.dimacs,25241692586194189127258318899060138854885622942769343099128711165522727553717777402036406840047875000000000000
2007-11-14_10-18-33.dimacs,44554109291276232784001485459092640642246455482656105490707773897636449282203710861655315297709390625000000000
2007-11-15_07-02-55.dimacs,66840470719949181708005317710638780926325014175681617743039129173271854851962352009115921719185421875000000000
2007-11-18_05-36-50.dimacs,200521412159847545124015953131916342778975042527044853229117387519815564555887056027347765157556265625000000000
2007-11-22_00-58-49.dimacs,305141279373681046927850363461611825968005499497676950566048198399719337367654215693790077413672578125000000000
2007-11-22_01-10-41.dimacs,610260482287137271954969679930431584762851245643454086160484899095779508792893863513963302987972578125000000000
2007-11-23_21-20-21.dimacs,491000470338672145712329429665137171247600897079718557884450497708589794925530866287046971578485078125000000000
2007-11-23_23-28-55.dimacs,425936820696801191161582097013285978904419813947010763451930867263079640395050369714027442263400507812500000000
2007-11-23_23-39-01.dimacs,709894701161335318602636828355476631507366356578351272419884778771799400658417282856712403772334179687500000000
2007-11-25_03-15-24.dimacs,709894701161335318602636828355476631507366356578351272419884778771799400658417282856712403772334179687500000000
2007-12-02_03-27-42.dimacs,709894701161335318602636828355476631507366356578351272419884778771799400658417282856712403772334179687500000000
2007-12-22_17-00-11.dimacs,1419212158298307866577039279716030936919833244660541907929361454779920317497792105733869829171134179687500000000
2007-12-24_14-09-19.dimacs,2128818237429220820729557674492081037809720805458634951163368170207726631572296282962625993021598398437500000000
2007-12-25_01-08-58.dimacs,3184976122647323822258887378344806769366762756413936224813982816425856959497139709535658422938568398437500000000
2008-01-05_03-26-41.dimacs,10616587075491079407529624594482689231222542521379787416046609388086189864990465698452194743128561328125000000000
2008-01-06_06-27-17.dimacs,10616587075491079407529624594482689231222542521379787416046609388086189864990465698452194743128561328125000000000
2008-01-08_20-32-12.dimacs,10616587075491079407529624594482689231222542521379787416046609388086189864990465698452194743128561328125000000000
