file,model_count
2016-12-20_20-51-59.dimacs,5652482067398275108305391800
2016-12-21_18-50-24.dimacs,5652482067398275108305391800
2016-12-23_07-53-31.dimacs,5652482067398275108305391800
2016-12-29_13-38-09.dimacs,6760164790038728227854380400
2016-12-31_06-13-53.dimacs,5958239116457705969404038240
2017-01-22_10-06-29.dimacs,6127944029454119508325404000
2017-01-24_05-14-44.dimacs,6127944029454119508325404000
2017-02-01_17-48-38.dimacs,6186049576025341212197710560
2017-03-20_18-10-36.dimacs,1485304779467825990263830240
2017-04-17_17-51-12.dimacs,571260069308294761169436480
2017-05-14_10-29-09.dimacs,571956361542364517680852800
2017-06-23_23-46-04.dimacs,571956412008965164519665600
2017-11-19_09-20-11.dimacs,603289562542104207533400000
2017-12-31_11-12-07.dimacs,350465882276366299364201280
2018-01-02_03-07-47.dimacs,350465882276366299364201280
2018-01-31_18-44-51.dimacs,116821960758788766454733760
2018-03-12_20-11-14.dimacs,115685191636992150713991360
2018-04-17_18-15-58.dimacs,57843039372572584333344960
2018-06-10_06-35-18.dimacs,57843045094560210664320960
2018-08-10_16-02-45.dimacs,61173626772042020327232960
2019-11-01_00-39-10.dimacs,61617701197004262641472960
2019-11-08_03-03-43.dimacs,61380857809495546583002560
2020-09-21_13-39-06.dimacs,61380855099080355163066560
2020-10-02_19-10-36.dimacs,61525387462326721251514560
2020-12-24_11-54-53.dimacs,50867601263232905709754560
